Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0CtZpaOhtzvLV3FfcsVpQo,"Besharam Rang (From ""Pathaan"")","Besharam Rang (From ""Pathaan"")","Vishal-Shekhar;Shilpa Rao;Caralisa Monteiro;Vishal Dadlani;Shekhar Ravjiani;Kumaar",2022-12-12,258472,69,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:07Z,"bollywood,desi,hindi pop","YRF Music",0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997,4
spotify:track:6f7zyAEUCZuvX4Zty62Z5o,"Radha","Student of the Year (Original Motion Picture Soundtrack)","Vishal-Shekhar;Shreya Ghoshal;Udit Narayan;Vishal Dadlani;Shekhar Ravjiani",2012-08-31,341360,64,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:11Z,"bollywood,desi,hindi pop,kannada pop,marathi pop,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.804,0.748,1,-14.163,0,0.0616,0.11,0,0.0998,0.699,131.989,4
spotify:track:7CdABTaND3EW5cETakiBD3,"Say ""Shava Shava""","Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)","Aadesh Shrivastava;Sudesh Bhosle;Alka Yagnik;Sunidhi Chauhan;Amitabh Bachchan;Udit Narayan",2001-11-28,408920,57,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:26Z,"bollywood,marathi pop,hindi pop,desi,bhajan,devotional","Sony Music Entertainment India Pvt. Ltd.",0.665,0.908,2,-4.804,1,0.188,0.0504,0,0.0798,0.691,98.808,4
spotify:track:2Bn2JQAGZzxe09jFzm1SqJ,"Aaja Nachle","Aaja Nachle","Salim–Sulaiman;Sunidhi Chauhan;Piyush Mishra",2007-10-18,305162,63,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:31Z,"bollywood,sufi,desi,hindi pop,qawwali","YRF Music",0.771,0.878,3,-6.879,0,0.177,0.417,0.0000632,0.332,0.84,120.003,4
spotify:track:2h1d6XPdBms5i7YwyfOO7q,"Halkat Jawani","Heroine (Original Motion Picture Soundtrack)","Salim–Sulaiman;Sunidhi Chauhan",2012-06-24,238426,62,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:34Z,"bollywood,sufi,desi,hindi pop,qawwali","UTV",0.709,0.812,6,-2.497,0,0.119,0.108,0.00000211,0.465,0.908,131.984,4
spotify:track:2VgbvKdaSOXWByBKYgBsEc,"Love Mera Hit Hit","Billu","Pritam;Neeraj Shridhar;Tulsi Kumar;Ashish Pandit",2009-01-05,286034,63,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:39Z,"bollywood,hindi pop,desi","T-Series",0.825,0.944,0,-4.98,1,0.0382,0.0871,0.0102,0.345,0.919,104.844,4
spotify:track:2nNaw1QUcqiEX6pBFxcpp3,"Marjaani","Billu","Pritam;Sukhwinder Singh;Sunidhi Chauhan;Gulzar",2009-01-05,323941,58,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:43Z,"bollywood,hindi pop,desi,ghazal","T-Series",0.773,0.951,11,-4.054,0,0.0577,0.0693,0.0083,0.321,0.603,109.427,4
spotify:track:7JFIDJAi9RoCn0JYavNLRG,"Shut Up & Bounce","Dostana (Original Motion Picture Soundtrack)","Vishal-Shekhar;Sunidhi Chauhan;Vishal Dadlani",2008-10-08,277493,54,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:47Z,"bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.578,0.857,2,-7.272,1,0.0648,0.00269,0.263,0.141,0.904,121.981,4
spotify:track:2J6eJ4OtqTiKSQr3pIwxmD,"Garmi","Street Dancer 3D","Badshah;Neha Kakkar;Varun Dhawan",2020-02-13,182738,42,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:52Z,"bollywood,desi,desi hip hop,hindi pop,hindi hip hop,desi pop,gujarati garba","T-Series",0.788,0.87,9,-5.217,1,0.177,0.123,0.0000143,0.0692,0.884,109.974,4
spotify:track:5lLBVDoG0w9oVxEftMIniN,"Soni Soni","Mohabbatein","Jatin-Lalit;Udit Narayan;Jaspinder Narula;Udbhav;Manohar Shetty;Ishaan;Shweta Pandit;Sonali Bhatawdekar;Pritha Mazumdar;Anand Bakshi",2000-08-27,547422,58,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:54:58Z,"bollywood,hindi pop,desi","YRF Music",0.647,0.725,7,-12.066,0,0.059,0.618,0.0000499,0.558,0.918,98.787,4
spotify:track:2lbdPiHFMRoGEmiugqaoXB,"Naal Nachna","Dhurandhar (Original Motion Picture Soundtrack)","Shashwat Sachdev;Afsana Khan;Irshad Kamil;Reble",2025-12-05,155142,65,true,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:04Z,"bollywood,desi pop,hindi pop,desi","Saregama India Ltd",0.79,0.715,6,-7.881,0,0.0765,0.106,0.12,0.11,0.833,140.018,4
spotify:track:0uvnGQnVe313EXePbRnZEH,"Shararat (From ""Dhurandhar"")","Shararat (From ""Dhurandhar"")","Shashwat Sachdev;Madhubanti Bagchi;Jasmine Sandlas",2025-12-01,224083,68,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:08Z,"bollywood,desi pop,hindi pop,bangla pop,bhangra,punjabi pop,desi","Saregama India Ltd",0.731,0.828,11,-5.507,1,0.0703,0.0142,0.0000325,0.0719,0.333,130.955,4
spotify:track:3JTMWdhcJPiegDSe7SvZS3,"Cannibal","Cannibal (Expanded Edition)","Kesha",2010-11-19,194253,73,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:31Z,"","RCA Records Label",0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,4
spotify:track:7axl6v0Yv4ksLVMt6XItpc,"Truth or Dare","TYLA","Tyla",2024-03-22,190392,77,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:35Z,"afrobeats","FAX Records/Epic",0.61,0.599,1,-5.752,1,0.337,0.182,0.000124,0.0852,0.809,154.463,5
spotify:track:11mwFrKvLXCbcVGNxffGyP,"Genie In a Bottle","Christina Aguilera (Expanded Edition)","Christina Aguilera",1999,217573,84,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:40Z,"","RCA Records Label",0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,4
spotify:track:0YGQ3hZcRLC5YX7o0hdmHg,"Naughty Girl","Dangerously In Love","Beyoncé",2003-06-24,208573,70,false,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:46Z,"","Columbia",0.588,0.461,6,-8.686,0,0.161,0.237,0.0000154,0.0913,0.659,200.053,4
spotify:track:03cL2gI39EAUUEwpi3mIfr,"Phresh Out The Runway","Unapologetic (Deluxe)","Rihanna",2012-12-11,222413,48,true,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:50Z,"","Def Jam Recordings",0.691,0.865,9,-5.831,0,0.0729,0.000202,0,0.294,0.961,154.121,4
spotify:track:60jzFy6Nn4M0iD1d94oteF,"Rude Boy","Rated R","Rihanna",2009-11-20,222920,82,true,31n5izrsw6hdh4t5pxt2n2dlgx5m,2026-04-01T19:55:55Z,"","Def Jam Recordings",0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.909,4
